lyrics,label
241 ContributorsTranslationsDeutschTürkçeРусскийPolskiAntichrist Lyrics[Part I],0
,0
"[Intro: Eminem & Traci Nelson, Eminem]",0
"Marshall, he is the Antichrist",0
He will slice and—,0
The devil came to Michigan,0
"Oh, shit",1
Fuck,1
Fuckin' PC police,1
Fuck,1
,0
[Verse 1: Eminem],0
"Gen Z, here they come now (Now)",0
'Bout to unload rounds (Brrt),0
Pronouns (Shit),1
"Got me like, ""Woah now"" (Woah)",0
"Homie, let us slow down (Chill)",0
No need to get so wound (Man),1
Ready to throw down (Yo),0
"If I mispronounce (Thee, them)",0
"Whoops (Sorry), oh wow",0
"Got heterosexuals crammin' 'em down our throats now (He, she, they, them)",1
Like I am gettin' snow-plowed,0
My humor's too low-brow (Yup),0
"Yeah, so there is no doubt (Nope)",0
You 'bout to get grossed out (Ugh),0
"But fuck it though, somebody needs to come and hit the reset button",1
Back to 2003 'because how did we get stuck in,0
"This woke BS? I am tryna make it regress, fuck 'em",1
"And I do not regret nothing' that is 'bout to be said, so fuck it, we can keep headbuttin'",1
"Still a grade-A prick, but the same way (What?)",1
"Cobain put the gauge to his brain, I am going' out with a bang, ayy (Yeah)",1
"Dang, Dre",0
"Look what you made me do, maybe you the one they should blame, they",0
Say they wish that I was not so angry (Yeah),0
"do not want to see me going' off the deep end like Ye, ayy (No, nah)",0
"Rather see me do like Kim Kardashian, they say (Yeah)",0
"Yeah, and find a way to get rid of all of this rage, ayy (Haha)",0
"But if you wonder, ""Why is Marsh considered the harshest spitter?"" (Why?)",0
'because I can spit a bar like it is a,0
"Cross between Nas and GZA, Biggie Smalls, and RZA",0
"So hard, Megan Thee Stallion and Nicki Minaj'll scissor (Cut it out)",0
you are still the press's wet dream (Yeah),0
Too many head shrinks (Oh),0
"My head thinks foul, I have said things when jesting",0
They should arrest me for my testes (Ah),0
"The biggest in the South, West, East, North and catch be (Ah)",0
Evidence swept clean,0
With extreme lengths and steps being took to suppress things (Why?),0
Try not to get seen,0
"With Ben Affleck, me, and Seth Green hangin' on to the left wing",0
"Of Jeffrey Epstein's jet screamin', ""Hey, do not forget me"" (Haha)",0
"Shady as Bill, takin' the pill and putting it in your soft drink (Ah)",0
Something's off and I do not know what the because be (Yeah),0
"But it is obvi', this water I am in is scalding",0
Ominous thoughts creep in my head and it is not me,0
"They brainwashed me (Marshall, Marshall)",0
"And that is all she wrote, yeah, that is why they call me",0
See Eminem LiveGet tickets as low as $101You might also like[Chorus: Eminem & Traci Nelson],0
"Marshall, he is the Antichrist",0
He will slice and dice,0
"Men, women, and children (One more time, come on)",0
"His name is Marshall, he is the Antichrist",0
He will slice and dice,0
"Whores, men, women, and children (Yeah)",1
,0
[Verse 2: Eminem],0
"Knock, knock (who is there?), boo (Boo who?)",0
"Hey, why you cryin', shorty? Ew, 'because I boo'd you (Woah)",0
"Well, bitch, I am tryna get some head up in this Subaru",1
"But you have no clue what you doing', do you?",0
"You fall asleep or something'? Hello, yoo-hoo",1
"Wake up, fake slut, I am out of here, screw you",1
"What, did you drop dead in my lap? You call that head?",0
"I suck my dick better than you do, haha",1
"Yeah, I am sick like the terminally ill (What?)",0
"But more like sick as in the term ""mentally ill""",0
"Antichrist, how come you cannot be nice?",0
"Look who is talkin', dog, like Brian from Family Guy (Huh)",0
